bpm,ibi,sdnn,sdsd,rmssd,pnn20,pnn50,hr_mad,sd1,sd2,s,sd1/sd2,breathingrate
65.29106628242074,918.9618644067797,49.59653959231896,21.4098237998982,39.67727434108763,0.7068965517241379,0.15517241379310345,31.25,28.032779179587422,63.825950449661256,5620.996558836239,0.4392066076900262,0.36666666666666664
58.948587979724834,1017.8360849056604,49.349424989742914,28.18559267952837,44.70907477445155,0.6153846153846154,0.23076923076923078,31.25,31.612483433202264,61.079230111405195,6065.994911935196,0.5175651915641833,0.13333333333333333
65.6981296215746,913.2680084745763,74.62630511134772,25.872239491726578,45.40390973096655,0.7241379310344828,0.2413793103448276,62.5,32.10527118116461,101.36172796052935,10223.514583789092,0.31673958038350064,0.36666666666666664
59.58717610891524,1006.9280660377359,40.11438611645897,26.72547989463707,43.56556677898313,0.6538461538461539,0.21153846153846154,23.4375,30.805324512175396,48.22915258448867,4667.510375265415,0.6387282973344823,0.3
62.950819672131146,953.125,55.75332559347597,29.277907944302324,50.422134924464565,0.6909090909090909,0.3090909090909091,39.0625,35.636710595191786,68.86524197423122,7709.878972739565,0.5174847219519934,0.3
59.82363315696649,1002.9481132075472,44.252151463808666,21.64296046318402,42.57081910679047,0.7307692307692307,0.2692307692307692,31.25,30.10136500833807,54.64455731571781,5167.529620898197,0.5508575142154147,0.16666666666666666
62.20048899755501,964.622641509434,47.03695913957342,26.485725235828106,43.346573085819756,0.6862745098039216,0.21568627450980393,31.25,30.647593231191436,57.134784089032195,5501.065779344229,0.5364086645262157,0.13333333333333333
60.63157894736842,989.5833333333334,41.856123094587474,20.530174381663432,37.390514306993815,0.6792452830188679,0.1509433962264151,19.53125,26.41853248451152,51.07792246942625,4239.276920292568,0.5172201845195423,0.16666666666666666
59.352580927384075,1010.9080188679245,71.41496192754605,26.460654556169956,46.560947154023914,0.7307692307692307,0.2692307692307692,54.6875,32.90281573761061,96.11692453317336,9935.341610328762,0.34232072964688626,0.3
57.995933778681376,1034.5552884615386,38.130287412843096,20.067986632704045,36.49660980931694,0.6666666666666666,0.21568627450980393,23.4375,25.806772963108262,47.918419853464314,3884.9556221299217,0.5385564265688643,0.13333333333333333
60.65035614741406,989.2769607843137,47.834361199365915,27.667107096280436,49.30964739815741,0.7142857142857143,0.3469387755102041,39.0625,34.84092953983145,56.82868561446994,6220.241083532535,0.6130870204564456,0.13333333333333333
61.65137614678899,973.2142857142857,47.10363564769568,21.82790828416648,38.820271692998,0.6363636363636364,0.23636363636363636,31.25,27.414036730582065,60.41809526785378,5203.432110520148,0.45373884444794893,0.3
58.0869049384547,1032.9350490196077,61.793527963366536,31.549545719721277,54.27596614190995,0.7346938775510204,0.3673469387755102,39.0625,38.37873812356666,79.90634964137831,9634.3374818271,0.4802964757595785,0.13333333333333333
59.05977945443993,1015.9198113207547,48.56339827815688,25.842656356543678,46.9625584485519,0.7692307692307693,0.25,31.25,33.18697532978984,59.68562831914479,6222.821095247941,0.5560295881001016,0.3
57.02970297029703,1052.0833333333333,53.22732600132786,30.577130955993894,49.36115312166036,0.66,0.3,39.0625,34.90360609951355,67.48661614998191,7400.104016021571,0.5171930093804668,0.1
62.959873435926944,952.9879385964912,32.50927760332563,19.294140302123,32.89808672146506,0.5357142857142857,0.125,15.625,23.227084477808354,38.783356684984646,2830.0230095114916,0.5988930939234804,0.13333333333333333
62.457159453964564,960.6584821428571,54.54709906331313,19.769339116712278,38.18619343844293,0.7454545454545455,0.18181818181818182,39.0625,26.926888094016466,71.40423104411997,6040.320524805064,0.37710493762447506,0.3333333333333333
60.2754331408263,995.4304245283018,47.447223753543604,23.504338712683317,43.67320268554277,0.75,0.2692307692307692,31.25,30.87266263482306,59.865373436639885,5806.30246762093,0.5157014959156309,0.3333333333333333
68.82914137033825,871.7237903225806,56.25889664006617,22.876140944432485,39.87374814957708,0.6557377049180327,0.19672131147540983,35.15625,28.19485226601847,73.45697874607704,6506.57976252064,0.3838280956732679,0.36666666666666664
61.989045834534444,967.9129464285714,50.58078933548489,24.164432724239514,38.38908166274743,0.5818181818181818,0.16363636363636364,31.25,27.097567249228224,65.397702590628,5567.274912948685,0.4143504462053001,0.26666666666666666
62.24023154848046,964.0066964285714,40.316873514439,21.08789040897231,33.69352914507473,0.5272727272727272,0.12727272727272726,23.4375,23.823017378677985,52.319797236335305,3915.729585886785,0.4553346655963961,0.1
56.22254758418741,1067.1875,62.35660633939813,34.49906588409315,64.6599428017455,0.7857142857142857,0.6071428571428571,39.0625,45.69423235699614,76.81255695166517,11026.647231615647,0.594879719806093,0.16666666666666666
60.96704354101515,984.1382575757576,43.54001489610852,27.9578365579313,38.780230143721425,0.44,0.2,23.4375,26.813155586390796,46.37441037361015,3906.3954170018615,0.5781886038091626,0.16666666666666666
63.20531331215709,949.2872807017544,35.15618320588026,23.642133218468636,40.42004877770392,0.6964285714285714,0.21428571428571427,23.4375,28.57294759799519,39.540753543444794,3549.358433466159,0.7226202092127836,0.3333333333333333
59.08549862098998,1015.4775943396227,63.839756105900896,31.38945572985536,54.31060026442104,0.75,0.36538461538461536,39.0625,38.403246795736955,82.22219901694037,9919.89108095932,0.46706664690182603,0.1
66.4661034411704,902.7157738095239,98.4410781685095,26.248758079599295,39.69089153416722,0.5675675675675675,0.21621621621621623,27.34375,27.574914095877002,121.51508419147765,10526.74815760683,0.2269258526984664,0.2
